Year	NUTS2_Code	GDP_Millions_Euro	Tourism_NightStays
2007	AT12	44580.08	3778322
2007	AT21	16364.24	4068276
2007	AT22	36539.05	5420013
2007	AT31	47409.72	3563688
2007	AT32	20895.93	4737133
2007	AT33	24818.47	2953029
2007	BE21	65818.48	1431942
2007	BE24	35854.01	591837
2007	BE25	35608.76	4530846
2007	BE32	27398.38	298118
2007	BE33	24806.32	1039687
2007	BG33	3609.91	1204136
2007	BG34	3884.73	1480721
2007	BG41	14784	1247920
2007	CY00	17591.05	1180663
2007	CZ01	34851.67	993337
2007	CZ04	11815.76	2033275
2007	CZ05	16512.32	5001920
2007	CZ06	19504.77	2497590
2007	CZ08	13820.92	1690871
2007	DE11	158946.40	7209607
2007	DE12	95445.70	6778259
2007	DE13	64430.36	9265162
2007	DE14	58304.36	4951814
2007	DE21	190234.77	20803210
2007	DE22	33943.70	9396969
2007	DE24	28982.61	3419945
2007	DE25	54975.81	4517937
2007	DE27	52787.52	9849512
2007	DE30	94674.55	10671866
2007	DE40	53004.02	7825909
2007	DE50	27285.62	1160918
2007	DE60	92386.99	5866099
2007	DE71	163380.32	9499425
2007	DE73	35097.27	5538422
2007	DE80	33484.74	22555587
2007	DE91	49440.52	4567625
2007	DE92	63180.37	3688834
2007	DE94	65304.61	13038636
2007	DEA1	178344.71	6384705
2007	DEA2	148656.41	8060737
2007	DEA3	69751.52	3297753
2007	DEA4	60830.53	3324781
2007	DEA5	100419.47	6287497
2007	DEB1	39034.24	5346812
2007	DEB2	12293.35	3637181
2007	DEB3	58121.34	4006059
2007	DEC0	31353.02	1211261
2007	DED2	37270.70	6366249
2007	DED5	22839.63	2321814
2007	DEE0	50152.98	5106221
2007	DEF0	71983.88	19090081
2007	DEG0	46928.27	6823285
2007	DK01	84035.62	3894554
2007	DK02	24453.88	2648706
2007	DK03	45666.54	5273103
2007	DK04	48318.22	3456589
2007	DK05	21431.48	3467063
2007	EE00	16246.40	1759045
2007	EL30	112007.91	2689126
2007	EL42	7683.25	1545850
2007	EL43	11200.47	1166117
2007	EL51	8906.26	1075682
2007	EL52	31951.55	2913185
2007	EL54	5028.61	700821
2007	EL61	11752.20	1292159
2007	EL62	4285.30	1194146
2007	EL63	11243.68	1047636
2007	EL64	10562.47	1191801
2007	EL65	9789.69	1593615
2007	ES11	56233.89	7776844
2007	ES12	23239.37	4457453
2007	ES13	12845.74	3885481
2007	ES21	65091.94	3204989
2007	ES22	17958.62	1763347
2007	ES23	7963.06	1154163
2007	ES24	34228.25	5201422
2007	ES30	194533.37	10569661
2007	ES41	55831.50	8393839
2007	ES42	38706.88	4001191
2007	ES43	17482.46	2397938
2007	ES51	203402.64	24499307
2007	ES52	105192.64	22628401
2007	ES53	26144.87	7773530
2007	ES61	148644.78	29520872
2007	ES62	27989.74	3728080
2007	ES70	41656.27	15252479
2007	FI19	42385.52	3468849
2007	FI1B	69675.70	2334851
2007	FI1C	36522.26	2500430
2007	FI1D	36830.68	5231677
