Place.Name,Latitude,Longitude,hockeyPlayers
Alabama,32.31823,-86.902298,1236
Arizona,34.048927,-111.093735,4860
Arkansas,34.799999,-92.199997,359
California,36.778259,-119.417931,25288
Colorado,39.113014,-105.358887,13570
Connecticut,41.599998,-72.699997,13275
Delaware,39,-75.5,915
Florida,27.994402,-81.760254,11982
Georgia,33.247875,-83.441162,2095
Idaho,44.068203,-114.742043,3396
Illinois,40,-89,29977
Indiana,40.273502,-86.126976,5922
Iowa,42.032974,-93.581543,3378
Kansas,38.5,-98,1648
Kentucky,37.839333,-84.27002,1625
Louisiana,30.39183,-92.329102,425
Maine,45.367584,-68.972168,6526
Maryland,39.045753,-76.641273,9122
Massachusetts,42.407211,-71.382439,48074
Michigan,44.182205,-84.506836,50585
Minnesota,46.39241,-94.63623,54507
Mississippi,33,-90,223
Missouri,38.573936,-92.60376,7162
Montana,46.96526,-109.533691,4253
Nebraska,41.5,-100,1693
Nevada,39.876019,-117.224121,1244
New Hampshire,44,-71.5,6211
New Jersey,39.833851,-74.871826,18438
New Mexico,34.307144,-106.018066,1298
New York,43,-75,48354
North Carolina,35.782169,-80.793457,6180
North Dakota,47.650589,-100.437012,5538
Ohio,40.367474,-82.996216,14387
Oklahoma,36.084621,-96.921387,738
Oregon,44,-120.5,2148
Pennsylvania,41.203323,-77.194527,30529
Rhode Island,41.700001,-71.5,4621
South Carolina,33.836082,-81.163727,1619
South Dakota,44.5,-100,2788
Tennessee,35.860119,-86.660156,2938
Texas,31,-100,12909
Utah,39.41922,-111.950684,4421
Vermont,44,-72.699997,4756
Virginia,37.926868,-78.024902,931
Washington,47.751076,-120.740135,8369
West Virginia,39,-80.5,1147
Wisconsin,44.5,-89.5,17762
Wyoming,43.07597,-107.290283,1925
